song_name,artist_name,id,type,part,version,votes,rating,difficulty,tuning,capo,url_web,upload_date,upload_year,chart_year,genre,main_key,strumming_whole_song_details,bpm,song_structure,has_intro,has_verse,has_chorus,has_pre_chorus,has_bridge,has_outro,has_solo,has_interlude,chord_1,chord_1_count,chord_2,chord_2_count,chord_3,chord_3_count,all_chords_summary,complexity,repetition,melodicness,energy,finger_movement,disruption,root_stability,intra_root_variation,harmonic_palette,loop_strength,structure_variation,playability,harmonic_softness,strumming_verse_details,strumming_unknown_details,strumming_suggested_pattern__based_off_of_drum_beat__details,strumming_as_per_acoustic_guitar_in_voice_memo_version_details,strumming_all_details,strumming_full_song_details,strumming_chorus__details,strumming_main_pattern_details,strumming_variation_details,strumming_piano_rhythm_details,strumming_adaptation_for_guitar_strumming_details,strumming_chorus__solo__outro_details,strumming_riff__begin_song_with_a_rest_on_beat_1__details,strumming_general_pattern_details,strumming_intro__bridge__outro_details,strumming_whole_song_except_part_after_3rd_chorus_details,strumming_after_3rd_chorus__use_p_m___details,strumming_pre_chorus__chorus_details,strumming_intro___verse_details,strumming_verse__main_pattern__details,strumming_verse__variation__details,strumming_descending_fills_details,strumming_chorus_details,strumming_bridge_details,strumming_whole_bar_intro_and_instrumental_details,strumming_pre_chorus__end_of_verse__details,strumming_whole_details,strumming_suggested_pattern_details,strumming_verse__main__details,strumming_verse__last_two_lines__details,strumming_chorus__main__details,strumming_chorus__end__details,strumming_intro___chorus_details,strumming_all_parts_details,strumming_pattern_1__x4__hold_last_strum_on_repeats____details,strumming_pattern_2_details,strumming_all_except_bridge_details,strumming_verses_and_interludes_details,strumming_pre_chorus___chorus_details,strumming_whole_verses_onwards_details,strumming_basic_pattern_details,strumming_expanded_pattern_details,strumming_verses___chorus_details,strumming_verse__pre_chorus_details,strumming_verse_and_chorus_details,strumming_intro_details,strumming_verse_1_details,strumming_chorus_1_details,strumming_verse_2_beginning_details,strumming_chorus_2_details,strumming_alternative_details,strumming_whole_song__suggested__details,strumming_whole_song__main_pattern__details,strumming_occasional_pattern_details,strumming_intro___chorus_variation_details,strumming_instrumental_line_1_details,strumming_instrumental_line_2_details,strumming_intro_verse_details,strumming_verses___interludes_details,strumming_general_details,strumming_verse__chorus_details,strumming_variation__every_4th_bar__details,strumming_intro__verse_details,strumming_post_chorus__3rd_chorus_details,strumming_verses_details,strumming_intro___instrumental_parts_details,strumming_chorus___solo_details,strumming_intro_part_1_of_pattern__chorus_part_2_of_pattern_details,strumming_intro_part_2_of_pattern__chorus_part_1_of_pattern_details,strumming_pattern_1__alternate_as_you_wish__details,strumming_verses___instrumentals_details,strumming_rest_of_song_details,strumming_prechorus_ending_details,strumming_pattern_1_details,strumming_intro__verse_1__chorus_1_details,strumming_verse_2__chorus_2__bridge__chorus_3_details,strumming_break_details,strumming_main_details,strumming_verse___pre_chorus_details,strumming_chorus___instrumental___bridge_details,strumming_intro__verse__pre_chorus_details,strumming_all_parts____indicates_muted_staccato_note__details,strumming_chorus_part_1_details,strumming_chorus_part_2_details,strumming_em__am__and_em_a_sections_details,strumming_b7_section__bassline__details,strumming_b7_section__melody___details,strumming_post_chorus_em_and_am_sections_details,strumming_post_chorus_b7_section_details,strumming_bridge_outro_details,strumming_main_strumming_pattern_details,strumming_instrumental_bridge_details,strumming_hook_details,strumming_pattern_2__follows_rhythm_of_drum_part__details,strumming_verse__e7_9__details,strumming_fill_1__watch_out_for_occasional_2_4_bars__details,strumming_fill_2__ditto__details,strumming_something_a_bit_crazy___synth_pattern_details,strumming_verse_1__1st_half_details,strumming_verse_1__2nd_half_details,strumming_chorus__verse_2__outro_details,strumming_pre_chorus__bridge_details,strumming_optional_strumming_rhythm_details,strumming_chorus___bridge___outro_details,strumming_from_1st_chorus_details,strumming_1st___3rd__verse___chorus_details,strumming_verse_2__mute_chords_every_other_strum__details,strumming_chorus__2nd___part_of_3rd_if_this_tab_was_finished_details,strumming_post_chorus_details,strumming_alternative_for_chorus_details,strumming_main_pattern__bridge_and_instrumental_unmuted__details,strumming_ending__hold_last_strum__details,strumming_hook_pattern_details,strumming_chorus_pattern_details,strumming_bridge_pattern_details,strumming_main_pattern__from_verse_1_details,strumming_entire_song__except_intro___interlude__details,strumming_whole_song_except_bridge_details,strumming_verse__pre_chorus__chorus__pre_bridge__outro_details,strumming_alternative_pattern_details,strumming_intro__verse__1st_chorus__interlude_details,strumming_intro___verse_1_details,strumming_intro__verse__instrumental__outro_details,strumming_pre_chorus__details,strumming_chorus__bridge__from_5th_line__details,strumming_intro___verse_1___links_details,strumming_simplified_pattern_details,strumming_instrumental_parts__verses_2___3_details,strumming_main_pattern__variation__details,strumming_optional_variation_details,strumming_verse_and_pre_chorus_details,strumming_chorus_and_verse_details,strumming_main_pattern__details,strumming_pre_chorus_details,strumming_complete_details,strumming_chord_details,strumming_verse__details,strumming_main_strum_pattern_details,strumming_chorus__bridge__outro_details,strumming_post_chorus_1__verse_2__outro_details,strumming_verse_2_details,strumming_intro__verse__pre_choruses_1___2_details,strumming_verse_1_first_half_details,strumming_verse_1_second_half_details,strumming_chorus__verse_2_details,strumming_basic_chorus_pattern_details,strumming_main_pattern_from_pre_chorus_details,strumming_chorus_variation_details,strumming_4_4_parts_of_the_song__if_no_fingerpicking__details,strumming_verse_variation_details,strumming_rest_of_the_song_details,strumming_basic_details,strumming_advanced_details,strumming_breaks__end_of_intro_and_pre_chorus__details,strumming_breaks_details,strumming_intro_verse_pre_chorus__suggested__details,strumming_choruses__suggested__details,strumming_simple_single_strums_details,strumming_rhythmic_strumming_variation_details,strumming_interlude___outro_details,strumming_throughout_details,strumming_verse___vocal_part_details,strumming_verse___instrumental_part_details,strumming_riff_before_chorus_details,strumming_most_of_the_song_details,strumming_second_part_of_chorus_details,strumming_whole_song__adapted__details,strumming_main_pattern__half_time_feel__details
1 Thing,Amerie,280440,Chords,,1,14,4.25907,novice,E A D G B E,0,https://tabs.ultimate-guitar.com/tab/amerie/1-thing-chords-280440,2005-12-20,2005,2005,pop,,,,"Intro, Verse One, Chorus",1,1,1,0,0,0,0,0,Cb,17,Ab,9,Eb,6,"Cb:17, Ab:9, Eb:6, Db:6",0.03965728274173806,0.9008567931456548,0.0,0.6860893512851897,0.0,0.901945200595066,0.037943696450428395,0.0,0.4,0.18604651162790697,0.5833333333333333,0.9603427172582619,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 7,Kevon Edmonds,2724492,Chords,,1,0,0.0,intermediate,E A D G B E,0,https://tabs.ultimate-guitar.com/tab/kevon-edmonds/24-7-chords-2724492,2019-06-13,2019,2000,,B,,,"Intro, Verse 1, Chorus, Verse 2, Chorus, Bridge, Chorus",1,1,1,0,1,0,0,0,G#m7,21,D#m7,19,B,11,"B:11, F#/A#:9, D#m7:19, G#m7:21, F#m7:11, B7:9, Emaj7:11, Gmaj7:11, A:11, G+:4, F+:2, G#m:2, B/F#:2, Fm7b5:2, B/C#:2, Adim:1, A#m7b5:1, B/D#:1, E/F#:1",0.45190839694656487,0.8549618320610687,0.33587786259541985,0.8446564885496183,1.5114503816793894,0.9847910960899714,0.007633587786259542,1.3333333333333333,1.9,0.0,0.8333333333333334,0.5480916030534351,0.6564885496183206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Britney Spears,923698,Chords,,3,11,4.81458,novice,E A D G B E,0,https://tabs.ultimate-guitar.com/tab/britney-spears/3-chords-923698,2010-02-22,2010,2010,pop,,,,"133xxx, x688xx, x466xx",0,0,0,0,0,0,0,0,Eb,20,C#,18,Fm,16,"G#:1, Fm:16, Eb:20, C#:18, C:4, F:5, Bbm:5",0.03600047633300827,0.9099988091674794,0.0,0.7045686128732213,0.23414020282774448,0.8923943089822868,0.04707972462802576,0.1111111111111111,0.5333333333333333,0.3273373306684432,0.16666666666666666,0.9639995236669917,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 11,Beyoncé,4798139,Chords,,1,0,0.0,,E A D G B E,0,https://tabs.ultimate-guitar.com/tab/4798139,2023-06-06,2023,2015,pop,G,,,"Verse, Chorus, Verse, Bridge, Chorus, Outro",0,1,1,0,1,1,0,0,Am,31,G,28,D,10,"Am:31, G:28, D:10",0.017391304347826087,0.9565217391304348,0.0,0.7397101449275363,0.8405797101449275,0.9569418189455997,0.014492753623188406,0.0,0.3,1.0434782608695652,0.6666666666666666,0.9826086956521739,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Bar Song Tipsy,Shaboozey,5223882,Chords,,1,1371,4.86852,,E A D G B E,2,https://tabs.ultimate-guitar.com/tab/shaboozey/a-bar-song-tipsy-chords-5223882,2024-04-12,2024,2024,,A,,158.0,"Intro, Verse 1, Pre-Chorus, Chorus, Verse 2, Pre-Chorus, Chorus, Bridge, Chorus, Outro",1,1,1,1,1,1,0,0,G,51,Em,26,C/G,26,"Em:26, G:51, C/G:26, D/F#:21",0.012903225806451613,0.967741935483871,0.0,0.7543548387096775,1.9112903225806452,0.9919354838709677,0.0,0.0,0.4,0.0967741935483871,1.1666666666666667,0.9870967741935484,0.0,,1-202-3-202-202-101-1-101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A View To A Kill,Duran Duran,3742949,Chords,,3,5,4.8005,intermediate,E A D G B E,0,https://tabs.ultimate-guitar.com/tab/duran-duran/a-view-to-a-kill-chords-3742949,2021-06-08,2021,1985,rock,Gm,,,"Intro, Verse 1, Interlude 1, Verse 2, Pre-Chorus 1, Chorus 1, Interlude 2, Verse 3, Interlude 3, Verse 4, Pre-Chorus 2, Chorus 2, Post-Chorus, Outro",1,1,1,1,0,1,0,1,G#m,13,Cm,12,E,12,"Cm:12, G/B:8, Eb/Bb:8, F/A:8, Fsus2:6, Cm7:5, Bb/C:4, F/C:4, Ab:4, Ebm:4, Ebm7:4, B:5, Bsus2:4, Db:2, Dbsus2:4, Db7sus4:2, E:12, Eadd2:12, G#m:13, G#m7:12, C#m:7, C#m7:8, D#m:7, D#m7:7, D#:1, F#sus2:1",0.15687709230033478,0.8485550317688051,0.06910569105691057,0.7641981508050374,0.95637539568673,0.8452481479580203,0.13336407733825237,0.5555555555555555,1.7999999999999998,0.976479697570085,1.277777777777778,0.8431229076996652,0.160498508346428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Ha - Take On Me - Journey - Dont Stop Believin - The Pretenders - Ill Stand By You,Misc Mashups,5162587,Chords,,1,0,0.0,,E A D G B E,0,https://tabs.ultimate-guitar.com/tab/misc-mashups/a-ha-take-on-me-journey-dont-stop-believin-the-pretenders-ill-stand-by-you-chords-5162587,2024-02-29,2024,1995,,,,,"Verse 1, Outro",0,1,0,0,0,1,0,0,D,9,Bm,8,A,8,"Bm:8, E:6, A:8, D:9, G:3, F#m:6, C#:1",0.06829268292682927,0.8292682926829268,0.0,0.708780487804878,0.7317073170731707,0.8816180844735276,0.04878048780487805,0.0,0.7,0.0,0.3333333333333333,0.9317073170731707,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absolutely Story Of A Girl,Nine Days,937545,Chords,,1,305,4.89421,intermediate,E A D G B E,0,https://tabs.ultimate-guitar.com/tab/nine-days/absolutely-story-of-a-girl-chords-937545,2010-04-07,2010,2000,rock,,,97.0,"Chorus, 1st Verse, Pre-Chorus, Chorus, 2nd Verse, Pre-Chorus, Chorus, Interlude, Solo, Pre-Chorus, Chorus/Outro",0,1,1,1,0,1,1,1,Cadd9,29,G,28,D,23,"Cadd9:29, G:28, A7sus4:21, D:23, Bm:16, Em7:9, Dsus4/F#:7, D/F#:2",0.284361215147732,0.9254265501456513,0.4222222222222222,0.7906096545984187,2.281523096129838,0.9685851487139203,0.011235955056179775,0.5,0.8,0.7610486891385768,0.5833333333333334,0.7156387848522681,0.42421972534332086,1-202-202-101-1-201-201-201-201-101-202-101-1-202-1-101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
According To You,Orianthi,889778,Chords,,1,76,4.86589,novice,E A D G B E,0,https://tabs.ultimate-guitar.com/tab/orianthi/according-to-you-chords-889778,2009-11-06,2009,2010,rock,,,131.0,"Intro, Verse 1, Chorus, Verse 2, Chorus, Bridge, Solo, Pre-Chorus, Chorus, Outro",1,1,1,1,1,1,1,0,Bb,28,C,25,Dm,23,"F:12, C:25, Dm:23, Bb:28, Dm/G:11, Am:1",0.03012151608323226,0.9246962097919192,0.0,0.7298165166944044,0.7238939005011613,0.8906105557628716,0.061395202768140054,0.13333333333333333,0.6199999999999999,1.3717148740515077,0.3,0.9698784839167678,0.0,2-2-2-2-2-2-2-2,,,,,,,,,,,,,,,,,,,,,,1-1-1-1-1-1-1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ace Of Base - The Sign - La Roux - Bulletproof,Misc Mashups,3022121,Chords,,1,0,0.0,,E A D G B E,0,https://tabs.ultimate-guitar.com/tab/misc-mashups/ace-of-base-the-sign-la-roux-bulletproof-chords-3022121,2020-03-14,2020,2010,,,,,"Intro, Verse 1, Chorus, Verse 1, Chorus - acapella; faster",1,1,1,0,0,0,0,0,B,25,D#m,25,C#,20,"B:25, C#:20, A#m:4, D#m:25, D#sus2:2, G#:5, F#:17, G#m:1, H:1, F#m:4, E:4, D:5, D/A:4, E/B:4, F#m/C#:4",0.0576,0.88,0.032,0.7431999999999999,1.248,0.890112,0.088,0.6666666666666666,1.5,1.408,0.6666666666666666,0.9424,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adele X Lionel Richie - Hello,Misc Mashups,1780524,Chords,,1,28,4.46466,,E A D G B E,1,https://tabs.ultimate-guitar.com/tab/misc-mashups/adele-x-lionel-richie-hello-chords-1780524,2015-11-18,2015,2015,,,,,,0,0,0,0,0,0,0,0,G,33,C,28,D,24,"Am:15, Am/G:11, Am/F:4, A:5, Dm:4, G:33, C:28, F:12, Bb:3, E:3, Em:23, D:24, Bm:2",0.031137724550898208,0.9221556886227544,0.0,0.7516167664670659,0.7664670658682635,0.8696977302879271,0.11976047904191617,1.0,1.3,1.7005988023952097,0.0,0.9688622754491018,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adore You,Harry Styles,2917556,Chords,,1,1520,4.86831,novice,E A D G B E,3,https://tabs.ultimate-guitar.com/tab/harry-styles/adore-you-chords-2917556,2019-12-06,2019,2020,rock,Cm,,99.0,"Intro, Verse 1, Pre-Chorus, Chorus, Verse 2, Pre-Chorus, Chorus, Bridge, Chorus, Outro",1,1,1,1,1,1,0,0,Am7,22,C,22,Fmaj7,22,"Am7:22, C:22, Fmaj7:22, G:20",0.09715424498826232,0.9489748526456232,0.12790697674418605,0.6895845788789245,1.239915302899799,0.9029621650705323,0.0449800290486565,0.0,0.4,2.328486260998801,1.0833333333333335,0.9028457550117377,0.12790697674418605,,1-202-202-202-1-202-202-202-1-202-1-101-202-101-1-101,,,,,,1-202-1-101-203-101-203-101-202-202-202-101-1-202-1-101-1-202-1-101-203-101-203-101-203-101-203-101-203-101-1-101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Against The Wind,Bob Seger & The Silver Bullet Band,1708124,Chords,,2,2913,4.8516,novice,E A D G B E,0,https://tabs.ultimate-guitar.com/tab/bob-seger-the-silver-bullet-band/against-the-wind-chords-1708124,2015-02-02,2015,1980,rock,G,,110.0,"Intro, Verse 1, Chorus, Verse 2, Chorus, Instrumental, Verse 3, Chorus, Outro",1,1,1,0,0,1,0,1,G,44,C,39,D,17,"G:44, Bm:15, C:39, D:17, Em:9, Am:3",0.025639295088113988,0.9430446194225721,0.0,0.7380839895013123,0.3637045369328834,0.8665536830393389,0.06546681664791901,0.16666666666666666,0.6499999999999999,0.39850018747656546,1.1666666666666667,0.974360704911886,0.004761904761904762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-202-1-101-1-101-1-101,1-202-1-101-1-202-1-101,,
Agora Hills,Doja Cat,4962745,Chords,,1,6,4.82267,,E A D G B E,0,https://tabs.ultimate-guitar.com/tab/doja-cat/agora-hills-chords-4962745,2023-09-22,2023,2024,hip hop,,,,"Intro, Chorus, Post-Chorus, Refrain, Interlude, Verse 1, Interlude, Chorus, Post-Chorus, Refrain, Interlude, Verse 2, Interlude, Chorus, Post-Chorus, Refrain",1,1,1,0,0,0,0,1,C#m,34,E,26,F#,26,"E:26, F#:26, G#m:26, C#m:34, D#:4",0.01724137931034483,0.9568965517241379,0.0,0.7298275862068966,0.9482758620689655,0.9239001189060643,0.034482758620689655,0.0,0.5,2.4827586206896552,1.1666666666666667,0.9827586206896551,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alejandro,Lady Gaga,885323,Chords,,1,355,4.88944,novice,E A D G B E,2,https://tabs.ultimate-guitar.com/tab/lady-gaga/alejandro-chords-885323,2009-10-22,2009,2010,pop,Bm,,,"Intro, Verse 1, Bridge, Chorus, Interlude, Verse 2, Bridge, Chorus, Outro",1,1,1,0,1,1,0,1,Am,48,C,47,F,30,"Am:48, C:47, Em:17, F:30, G:30",0.013650405082473624,0.9658739872938159,0.0,0.701064871481028,0.5713936002797692,0.9009589562601062,0.04879640962872297,0.0,0.5,2.242128577257096,0.4444444444444445,0.9863495949175264,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All About That Bass,Meghan Trainor,1676006,Chords,,5,9,4.867,intermediate,E A D G B E,0,https://tabs.ultimate-guitar.com/tab/meghan-trainor/all-about-that-bass-chords-1676006,2014-11-03,2014,2015,pop,A,,134.0,"Chorus, Verse 1, Pre-Chorus, Chorus, Verse 2, Pre-Chorus, Chorus, Outro",0,1,1,1,0,1,0,0,A,26,Bm,12,E,11,"A:26, Bm:12, E:11, C#m:4, D:4",0.02626106062119245,0.9343473484470189,0.0,0.5787607665590289,0.49694286316677205,0.5677406701308654,0.24047926584329266,0.0,0.36000000000000004,1.131746951185681,0.6,0.9737389393788076,0.0,,,,,1-202-1-101-202-101-1-101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Around The World,Lisa Stansfield,85265,Chords,,1,22,4.61619,intermediate,E A D G B E,0,https://tabs.ultimate-guitar.com/tab/lisa-stansfield/all-around-the-world-chords-85265,2003-08-28,2003,1990,r&b funk & soul,,,,"intro, verse 1, verse2, bridge, interlude, verse3, bridge, verse 4, bridge, outro",0,0,0,0,0,0,0,0,Dm9,17,Fmaj7,11,Cmaj7,10,"Dbmaj7:3, Eb6:3, Bm7:8, Dm9:17, Em7:8, Fmaj7:11, Cmaj7:10, E7:6, Dm7:3, G7:7, D:6, Am7:7, Cmaj9:4, D/E:9, C#m7:6, G:6, G9:1, Am:2",0.4714956514561431,0.8844803133653002,0.5239720202406769,0.7464635032479633,1.5381598168033639,0.8331504648916054,0.11212039350757524,0.6666666666666666,1.4666666666666668,0.011396011396011397,0.8333333333333334,0.5285043485438569,0.7088129613371054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All I Need,Jack Wagner,769911,Chords,,1,9,4.70035,intermediate,E A D G B E,0,https://tabs.ultimate-guitar.com/tab/jack-wagner/all-i-need-chords-769911,2008-12-23,2008,1985,,A,,,"Intro, Verse 1, Chorus, Verse 2, Chorus, Instrumental, Chorus, Coda",0,0,0,0,0,0,0,0,Bm7,13,A,12,E7sus,10,"A:12, Am9:1, F#m7:6, Bm7:13, A/C#:7, Dm7:2, E:9, E/B:2, E7sus:10, E7:6, F#m:2, CM9:2, DM:2, D:3, D/A:1, G:1, B7:1, E/G#:1, C#m7:1, B7sus:1, G/D:1",0.2998281130634072,0.8108288770053476,0.058823529411764705,0.7989616755793226,1.703781512605042,0.8767091628419315,0.11567354214413038,1.3333333333333333,2.25,0.0,0.5,0.7001718869365928,0.37359943977591037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All I Wanna Do,Sheryl Crow,2223251,Chords,,2,209,4.87456,intermediate,E A D G B E,0,https://tabs.ultimate-guitar.com/tab/sheryl-crow/all-i-wanna-do-chords-2223251,2017-11-01,2017,1995,rock,E,1-101-201-101-1-101-201-101,120.0,"Intro, Verse 1, Pre-chorus, Chorus, Verse 2, Pre-chorus, Chorus, Interlude, Pre-chorus, Chorus, Outro",1,1,1,1,0,1,0,1,E7,33,C7,26,D7,22,"Bb7:13, A7:13, E7:33, C7:26, D7:22, B7:4, E:1, E9:1",0.42900442477876105,0.8771017699115045,0.0,0.7564712389380531,0.4569690265486726,0.919209609209805,0.035398230088495575,0.5,0.75,0.10619469026548672,1.0,0.570995575221239,0.6330752212389381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All I Wanna Do Is Make Love To You,Heart,1801377,Chords,,1,255,4.85426,,E A D G B E,0,https://tabs.ultimate-guitar.com/tab/heart/all-i-wanna-do-is-make-love-to-you-chords-1801377,2016-01-09,2016,1990,rock,G,,,"Intro, Verse 1, Chorus, Verse 2, Chorus, Bridge, Verse 3, Chorus, Outro",1,1,1,0,1,1,0,0,G,29,C,28,D,7,"G:29, C:28, Bm:5, D:7, Em:4",0.09044281618349792,0.9192417967505575,0.17829457364341086,0.7182988212806626,1.3093341828607838,0.797268453955778,0.14962302219390464,0.6666666666666666,0.85,0.3561643835616438,1.5,0.9095571838165021,0.09689922480620156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
